epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,67.5916,0.98081,0.63338,1.00915,0.96074,0.9598,0.98298,0.66961,1.17573,0.52683,0.97649,0.00064,0.00064,0.00064
2,139.776,0.85004,0.56518,0.98385,0.86902,0.98039,0.97892,0.87656,0.45376,0.37531,0.84173,0.00119275,0.00119275,0.00119275
3,204.225,0.75597,0.54468,0.95452,0.91812,0.94118,0.97329,0.84843,0.52613,0.41713,0.86159,0.0016366,0.0016366,0.0016366
4,275.15,0.70887,0.51139,0.95246,0.86314,0.96078,0.97561,0.8676,0.49656,0.39779,0.85102,0.001505,0.001505,0.001505
5,320.255,0.69388,0.46717,0.95077,0.94174,0.95088,0.98179,0.8819,0.49833,0.38386,0.85066,0.00134,0.00134,0.00134
6,371.999,0.65835,0.48216,0.92783,0.95595,0.96078,0.98263,0.8634,0.52803,0.38531,0.85366,0.001175,0.001175,0.001175
7,430.581,0.67949,0.46377,0.93377,0.9607,0.95879,0.98429,0.85516,0.53191,0.37004,0.8544,0.00101,0.00101,0.00101
8,473.35,0.63853,0.43559,0.93034,0.92365,0.96078,0.98442,0.86138,0.522,0.36003,0.85613,0.000845,0.000845,0.000845
9,515.137,0.61354,0.4225,0.89757,0.95218,0.96078,0.98449,0.85238,0.57647,0.36857,0.85968,0.00068,0.00068,0.00068
10,557.977,0.60008,0.41299,0.89714,0.95285,0.96078,0.98477,0.87406,0.52195,0.3632,0.84922,0.000515,0.000515,0.000515
11,605.143,0.60643,0.40771,0.93009,0.95172,0.96078,0.9855,0.87186,0.48807,0.35598,0.84455,0.00035,0.00035,0.00035
12,654.867,0.56967,0.39546,0.88795,0.95212,0.96078,0.98522,0.87145,0.49321,0.35392,0.84228,0.000185,0.000185,0.000185
